,sigma,optimizer,seed,r
153,0.1,cobyla,77,1.0
154,0.1,rmsprop,78,1.0
155,0.1,cobyla,78,1.0
156,0.1,rmsprop,79,1.0
157,0.1,cobyla,79,1.0
158,0.1,rmsprop,80,1.0
159,0.1,cobyla,80,1.0
160,0.1,rmsprop,81,1.0
161,0.1,cobyla,81,1.0
162,0.1,rmsprop,82,1.0
163,0.1,cobyla,82,1.0
164,0.1,rmsprop,83,0.9964590598470191
165,0.1,cobyla,83,0.9964590598470191
166,0.1,rmsprop,84,0.8502349112586448
167,0.1,cobyla,84,1.0
168,0.1,rmsprop,85,1.0
169,0.1,cobyla,85,1.0
170,0.1,rmsprop,86,1.0
171,0.1,cobyla,86,1.0
172,0.1,rmsprop,87,1.0
173,0.1,cobyla,87,1.0
174,0.1,rmsprop,88,1.0
175,0.1,cobyla,88,0.8648037685892229
176,0.1,rmsprop,89,1.0
177,0.1,cobyla,89,1.0
178,0.1,rmsprop,90,1.0
179,0.1,cobyla,90,1.0
180,0.1,rmsprop,91,1.0
181,0.1,cobyla,91,1.0
182,0.1,rmsprop,92,1.0
183,0.1,cobyla,92,1.0
184,0.1,rmsprop,93,1.0
185,0.1,cobyla,93,1.0
186,0.1,rmsprop,94,1.0
187,0.1,cobyla,94,1.0
188,0.1,rmsprop,95,1.0
189,0.1,cobyla,95,1.0
190,0.1,rmsprop,96,1.0
191,0.1,cobyla,96,1.0
192,0.1,rmsprop,97,1.0
193,0.1,cobyla,97,1.0
194,0.1,rmsprop,98,1.0
195,0.1,cobyla,98,1.0
196,0.1,rmsprop,99,1.0
197,0.1,cobyla,99,1.0
198,0.1,rmsprop,100,1.0
199,0.1,cobyla,100,1.0
200,1.0,rmsprop,1,1.0
201,1.0,cobyla,1,0.7483049793072721
202,1.0,rmsprop,2,1.0
203,1.0,cobyla,2,1.0
204,1.0,rmsprop,3,0.967284616931105
205,1.0,cobyla,3,1.0
206,1.0,rmsprop,4,1.0
207,1.0,cobyla,4,0.8185033501813059
208,1.0,rmsprop,5,1.0
209,1.0,cobyla,5,1.0
210,1.0,rmsprop,6,1.0
211,1.0,cobyla,6,1.0
212,1.0,rmsprop,7,0.8800728012835854
213,1.0,cobyla,7,1.0
214,1.0,rmsprop,8,1.0
215,1.0,cobyla,8,1.0
216,1.0,rmsprop,9,1.0
217,1.0,cobyla,9,1.0
218,1.0,rmsprop,10,1.0
219,1.0,cobyla,10,1.0
220,1.0,rmsprop,11,1.0
221,1.0,cobyla,11,1.0
222,1.0,rmsprop,12,1.0
223,1.0,cobyla,12,1.0
224,1.0,rmsprop,13,1.0
225,1.0,cobyla,13,0.8404618084297397
226,1.0,rmsprop,14,1.0
227,1.0,cobyla,14,0.8535728672405556
228,1.0,rmsprop,15,1.0
