,sigma,seed,rqaoa_type,n_steps,n_max,r,optimization_schedule
50,0.1,26,custom,3,3,1.0,"[3, 3, 3]"
51,0.1,26,adaptive,3,3,1.0,"[1, 1, 1, 3, 1, 1, 1]"
52,0.1,27,custom,3,3,1.0,"[3, 3, 3]"
53,0.1,27,adaptive,3,3,1.0,"[1, 3, 1, 2, 2]"
54,0.1,28,custom,3,3,0.8608443473192305,"[3, 3, 3]"
55,0.1,28,adaptive,3,3,1.0,"[1, 1, 2, 1, 3, 1]"
56,0.1,29,custom,3,3,1.0,"[3, 2, 3, 1]"
57,0.1,29,adaptive,3,3,1.0,"[1, 2, 1, 2, 3]"
58,0.1,30,custom,3,3,1.0,"[3, 3, 3]"
59,0.1,30,adaptive,3,3,1.0,"[3, 2, 2, 1, 1]"
60,0.1,31,custom,3,3,0.8422891380066577,"[3, 3, 3]"
61,0.1,31,adaptive,3,3,0.8422891380066577,"[2, 1, 3, 3]"
62,0.1,32,custom,3,3,0.7065284512758204,"[3, 3, 3]"
63,0.1,32,adaptive,3,3,1.0,"[1, 2, 1, 2, 1, 2]"
64,0.1,33,custom,3,3,1.0,"[3, 3, 3]"
65,0.1,33,adaptive,3,3,1.0,"[2, 2, 1, 2, 1, 1]"
66,0.1,34,custom,3,3,0.8321222535340144,"[3, 3, 3]"
67,0.1,34,adaptive,3,3,1.0,"[2, 1, 1, 2, 2, 1]"
68,0.1,35,custom,3,3,1.0,"[3, 3, 3]"
69,0.1,35,adaptive,3,3,1.0,"[1, 2, 1, 3, 1, 1]"
70,0.1,36,custom,3,3,1.0,"[3, 3, 3]"
71,0.1,36,adaptive,3,3,1.0,"[2, 1, 2, 1, 2, 1]"
72,0.1,37,custom,3,3,0.9955979805533058,"[3, 2, 3, 1]"
73,0.1,37,adaptive,3,3,0.8406978083779081,"[1, 2, 1, 1, 1, 2, 1]"
74,0.1,38,custom,3,3,0.9860033725942545,"[3, 3, 3]"
75,0.1,38,adaptive,3,3,1.0,"[2, 1, 2, 1, 1, 2]"
76,0.1,39,custom,3,3,1.0,"[3, 3, 3]"
77,0.1,39,adaptive,3,3,0.4273876084094912,"[1, 1, 1, 1, 1, 2, 1, 1]"
78,0.1,40,custom,3,3,1.0,"[3, 3, 3]"
79,0.1,40,adaptive,3,3,1.0,"[1, 2, 2, 1, 2, 1]"
80,0.1,41,custom,3,3,0.8646703371433389,"[3, 3, 3]"
81,0.1,41,adaptive,3,3,0.8666025158776447,"[2, 2, 1, 1, 2, 1]"
82,0.1,42,custom,3,3,0.8495281540092604,"[3, 3, 3]"
83,0.1,42,adaptive,3,3,1.0,"[3, 1, 2, 3]"
84,0.1,43,custom,3,3,1.0,"[3, 3, 3]"
85,0.1,43,adaptive,3,3,1.0,"[3, 2, 2, 2]"
86,0.1,44,custom,3,3,1.0,"[3, 3, 2, 1]"
87,0.1,44,adaptive,3,3,0.8405473539028745,"[2, 2, 2, 1, 1, 1]"
88,0.1,45,custom,3,3,1.0,"[3, 2, 3, 1]"
89,0.1,45,adaptive,3,3,1.0,"[2, 1, 1, 2, 2, 1]"
90,0.1,46,custom,3,3,0.9963635309860521,"[3, 3, 3]"
91,0.1,46,adaptive,3,3,1.0,"[1, 1, 1, 2, 2, 1, 1]"
92,0.1,47,custom,3,3,1.0,"[3, 3, 3]"
93,0.1,47,adaptive,3,3,1.0,"[3, 1, 1, 2, 2]"
94,0.1,48,custom,3,3,1.0,"[3, 3, 3]"
95,0.1,48,adaptive,3,3,0.4293600843820974,"[1, 2, 1, 2, 3]"
96,0.1,49,custom,3,3,0.8508522768958687,"[3, 3, 3]"
97,0.1,49,adaptive,3,3,0.7192781207176107,"[2, 2, 2, 1, 1, 1]"
98,0.1,50,custom,3,3,0.7323077271267501,"[3, 3, 3]"
99,0.1,50,adaptive,3,3,0.7233683696716413,"[2, 1, 2, 2, 1, 1]"
100,0.1,51,custom,3,3,0.8663007959804542,"[3, 3, 3]"
101,0.1,51,adaptive,3,3,1.0,"[2, 1, 1, 1, 1, 2, 1]"
102,0.1,52,custom,3,3,1.0,"[3, 3, 3]"
103,0.1,52,adaptive,3,3,1.0,"[3, 2, 2, 1, 1]"
104,0.1,53,custom,3,3,0.8663327037860942,"[3, 3, 3]"
105,0.1,53,adaptive,3,3,1.0,"[2, 3, 1, 2, 1]"
106,0.1,54,custom,3,3,1.0,"[3, 3, 3]"
107,0.1,54,adaptive,3,3,1.0,"[3, 1, 1, 2, 1, 1]"
108,0.1,55,custom,3,3,1.0,"[3, 3, 3]"
109,0.1,55,adaptive,3,3,1.0,"[2, 2, 2, 1, 2]"
110,0.1,56,custom,3,3,1.0,"[3, 3, 2, 1]"
111,0.1,56,adaptive,3,3,1.0,"[2, 1, 2, 3, 1]"
112,0.1,57,custom,3,3,1.0,"[3, 2, 3, 1]"
113,0.1,57,adaptive,3,3,1.0,"[2, 2, 1, 2, 2]"
114,0.1,58,custom,3,3,1.0,"[3, 3, 3]"
115,0.1,58,adaptive,3,3,1.0,"[2, 1, 1, 1, 2, 1, 1]"
116,0.1,59,custom,3,3,0.8306872874863791,"[3, 3, 3]"
117,0.1,59,adaptive,3,3,1.0,"[2, 2, 1, 1, 2, 1]"
118,0.1,60,custom,3,3,1.0,"[3, 3, 3]"
119,0.1,60,adaptive,3,3,1.0,"[1, 3, 1, 1, 1, 1, 1]"
120,0.1,61,custom,3,3,0.8407831309652896,"[3, 3, 3]"
121,0.1,61,adaptive,3,3,0.8503132738092466,"[2, 2, 3, 2]"
122,0.1,62,custom,3,3,1.0,"[3, 3, 3]"
123,0.1,62,adaptive,3,3,1.0,"[1, 2, 3, 2, 1]"
124,0.1,63,custom,3,3,1.0,"[3, 3, 3]"
125,0.1,63,adaptive,3,3,1.0,"[2, 1, 1, 1, 2, 1, 1]"
126,0.1,64,custom,3,3,0.8673918213976501,"[3, 2, 3, 1]"
127,0.1,64,adaptive,3,3,0.8673918213976501,"[2, 2, 2, 2, 1]"
128,0.1,65,custom,3,3,0.8387890744773856,"[3, 3, 3]"
129,0.1,65,adaptive,3,3,0.9980343423266358,"[2, 2, 2, 1, 2]"
130,0.1,66,custom,3,3,0.8276555267834453,"[3, 3, 3]"
131,0.1,66,adaptive,3,3,1.0,"[1, 1, 3, 2, 1, 1]"
132,0.1,67,custom,3,3,0.9982696772595184,"[3, 3, 3]"
133,0.1,67,adaptive,3,3,0.8431684294135882,"[2, 2, 1, 2, 1, 1]"
134,0.1,68,custom,3,3,0.8393183672090531,"[3, 3, 3]"
135,0.1,68,adaptive,3,3,0.6697462708899742,"[1, 1, 1, 1, 1, 1, 2, 1]"
136,0.1,69,custom,3,3,1.0,"[3, 3, 2, 1]"
137,0.1,69,adaptive,3,3,1.0,"[1, 3, 2, 2, 1]"
138,0.1,70,custom,3,3,1.0,"[3, 3, 3]"
139,0.1,70,adaptive,3,3,1.0,"[2, 3, 2, 2]"
140,0.1,71,custom,3,3,1.0,"[3, 3, 2, 1]"
141,0.1,71,adaptive,3,3,1.0,"[2, 2, 2, 3]"
142,0.1,72,custom,3,3,0.8537469364926731,"[3, 3, 3]"
143,0.1,72,adaptive,3,3,1.0,"[2, 2, 2, 2, 1]"
144,0.1,73,custom,3,3,0.8359387809094889,"[3, 3, 3]"
145,0.1,73,adaptive,3,3,0.8371626314595951,"[1, 2, 1, 2, 1, 1, 1]"
146,0.1,74,custom,3,3,1.0,"[3, 3, 3]"
147,0.1,74,adaptive,3,3,1.0,"[2, 2, 2, 3]"
148,0.1,75,custom,3,3,1.0,"[3, 2, 3, 1]"
149,0.1,75,adaptive,3,3,1.0,"[2, 1, 1, 1, 2, 1, 1]"
150,0.1,76,custom,3,3,1.0,"[3, 3, 3]"
151,0.1,76,adaptive,3,3,1.0,"[2, 3, 2, 1, 1]"
152,0.1,77,custom,3,3,1.0,"[3, 3, 3]"
153,0.1,77,adaptive,3,3,1.0,"[2, 1, 1, 2, 1, 1, 1]"
154,0.1,78,custom,3,3,1.0,"[3, 3, 3]"
155,0.1,78,adaptive,3,3,1.0,"[1, 1, 2, 1, 3, 1]"
156,0.1,79,custom,3,3,0.7192867488101943,"[3, 3, 3]"
157,0.1,79,adaptive,3,3,1.0,"[1, 1, 1, 1, 2, 2, 1]"
158,0.1,80,custom,3,3,1.0,"[3, 2, 3, 1]"
159,0.1,80,adaptive,3,3,1.0,"[2, 2, 2, 2, 1]"
160,0.1,81,custom,3,3,1.0,"[3, 3, 3]"
161,0.1,81,adaptive,3,3,1.0,"[1, 1, 1, 2, 1, 2, 1]"
162,0.1,82,custom,3,3,1.0,"[3, 3, 3]"
163,0.1,82,adaptive,3,3,1.0,"[2, 2, 2, 2, 1]"
164,0.1,83,custom,3,3,0.9964590598470191,"[3, 3, 3]"
165,0.1,83,adaptive,3,3,0.9964590598470191,"[2, 1, 1, 1, 3, 1]"
166,0.1,84,custom,3,3,0.8422705697778373,"[3, 3, 3]"
167,0.1,84,adaptive,3,3,0.8468095417685979,"[2, 2, 3, 2]"
168,0.1,85,custom,3,3,1.0,"[3, 3, 2, 1]"
169,0.1,85,adaptive,3,3,1.0,"[1, 3, 1, 1, 1, 1, 1]"
170,0.1,86,custom,3,3,0.8520977499421821,"[3, 3, 3]"
171,0.1,86,adaptive,3,3,1.0,"[3, 3, 2, 1]"
172,0.1,87,custom,3,3,1.0,"[3, 3, 3]"
173,0.1,87,adaptive,3,3,1.0,"[2, 2, 3, 1, 1]"
174,0.1,88,custom,3,3,0.8648037685892229,"[3, 2, 3, 1]"
175,0.1,88,adaptive,3,3,1.0,"[2, 2, 1, 1, 2, 1]"
176,0.1,89,custom,3,3,0.9996553477500767,"[3, 2, 3, 1]"
177,0.1,89,adaptive,3,3,0.7225548707526728,"[2, 1, 1, 2, 2, 1]"
178,0.1,90,custom,3,3,1.0,"[3, 3, 3]"
179,0.1,90,adaptive,3,3,1.0,"[1, 1, 2, 1, 3, 1]"
180,0.1,91,custom,3,3,0.8553077606685685,"[3, 3, 3]"
181,0.1,91,adaptive,3,3,1.0,"[2, 2, 3, 1, 1]"
182,0.1,92,custom,3,3,0.7192395912452398,"[3, 3, 3]"
183,0.1,92,adaptive,3,3,1.0,"[2, 1, 2, 2, 2]"
184,0.1,93,custom,3,3,1.0,"[3, 3, 3]"
185,0.1,93,adaptive,3,3,1.0,"[2, 1, 3, 1, 1, 1]"
186,0.1,94,custom,3,3,0.8608609401807469,"[3, 3, 3]"
187,0.1,94,adaptive,3,3,0.8608609401807469,"[3, 1, 2, 2, 1]"
188,0.1,95,custom,3,3,0.9974346312518388,"[3, 2, 3, 1]"
189,0.1,95,adaptive,3,3,0.9974346312518388,"[3, 2, 1, 1, 2]"
190,0.1,96,custom,3,3,1.0,"[3, 2, 3, 1]"
191,0.1,96,adaptive,3,3,1.0,"[2, 2, 1, 2, 1, 1]"
192,0.1,97,custom,3,3,1.0,"[3, 3, 3]"
193,0.1,97,adaptive,3,3,1.0,"[2, 2, 1, 1, 3]"
194,0.1,98,custom,3,3,0.8308719866367388,"[3, 3, 3]"
195,0.1,98,adaptive,3,3,1.0,"[2, 1, 1, 2, 2, 1]"
196,0.1,99,custom,3,3,0.8371081268564178,"[3, 3, 3]"
197,0.1,99,adaptive,3,3,1.0,"[2, 3, 2, 1, 1]"
198,0.1,100,custom,3,3,0.8576455948444167,"[3, 3, 3]"
199,0.1,100,adaptive,3,3,1.0,"[2, 2, 2, 2, 1]"
200,1.0,1,custom,3,3,0.5948068363622933,"[3, 3, 3]"
201,1.0,1,adaptive,3,3,0.8035997250761614,"[2, 2, 2, 1, 2]"
202,1.0,2,custom,3,3,1.0,"[3, 3, 3]"
203,1.0,2,adaptive,3,3,1.0,"[3, 1, 1, 2, 1, 1]"
204,1.0,3,custom,3,3,0.8855676211387821,"[3, 3, 3]"
205,1.0,3,adaptive,3,3,0.967284616931105,"[1, 1, 1, 3, 2, 1]"
206,1.0,4,custom,3,3,0.888235224560614,"[3, 3, 3]"
207,1.0,4,adaptive,3,3,0.9030818173473832,"[2, 2, 1, 1, 3]"
208,1.0,5,custom,3,3,0.6026029134823113,"[3, 3, 3]"
209,1.0,5,adaptive,3,3,0.6119195932097866,"[2, 2, 2, 1, 2]"
210,1.0,6,custom,3,3,0.9136350869662165,"[3, 3, 3]"
211,1.0,6,adaptive,3,3,0.9136350869662165,"[2, 3, 2, 1, 1]"
212,1.0,7,custom,3,3,0.6007382545691244,"[3, 3, 3]"
213,1.0,7,adaptive,3,3,0.8218860615291821,"[1, 3, 1, 2, 2]"
214,1.0,8,custom,3,3,1.0,"[3, 3, 3]"
215,1.0,8,adaptive,3,3,0.8860136211256943,"[2, 2, 2, 2, 1]"
216,1.0,9,custom,3,3,1.0,"[3, 3, 3]"
217,1.0,9,adaptive,3,3,1.0,"[3, 1, 2, 3]"
218,1.0,10,custom,3,3,0.817331948459174,"[3, 3, 3]"
219,1.0,10,adaptive,3,3,1.0,"[2, 2, 2, 2, 1]"
220,1.0,11,custom,3,3,0.8902686491423584,"[3, 3, 3]"
221,1.0,11,adaptive,3,3,1.0,"[1, 2, 2, 2, 1, 1]"
222,1.0,12,custom,3,3,0.6628586560013037,"[3, 3, 3]"
223,1.0,12,adaptive,3,3,1.0,"[2, 2, 1, 3, 1]"
224,1.0,13,custom,3,3,0.7652241850414417,"[3, 3, 3]"
225,1.0,13,adaptive,3,3,0.8914670412672663,"[1, 2, 1, 1, 1, 2, 1]"
226,1.0,14,custom,3,3,1.0,"[3, 3, 3]"
227,1.0,14,adaptive,3,3,1.0,"[2, 1, 1, 2, 2, 1]"
228,1.0,15,custom,3,3,0.620229126995684,"[3, 3, 3]"
229,1.0,15,adaptive,3,3,0.7610371134362072,"[1, 3, 2, 2, 1]"
230,1.0,16,custom,3,3,0.885525472025041,"[3, 3, 3]"
231,1.0,16,adaptive,3,3,0.8660775180731536,"[1, 2, 1, 2, 2, 1]"
232,1.0,17,custom,3,3,0.9253876913701429,"[3, 3, 3]"
233,1.0,17,adaptive,3,3,0.9253876913701429,"[2, 1, 2, 1, 1, 1, 1]"
234,1.0,18,custom,3,3,1.0,"[3, 3, 3]"
235,1.0,18,adaptive,3,3,0.8401106707906432,"[1, 2, 1, 1, 2, 2]"
236,1.0,19,custom,3,3,0.9390496761728058,"[3, 3, 3]"
237,1.0,19,adaptive,3,3,0.9390496761728058,"[2, 1, 2, 2, 1, 1]"
238,1.0,20,custom,3,3,1.0,"[3, 2, 3, 1]"
239,1.0,20,adaptive,3,3,0.9800332844325219,"[2, 2, 1, 2, 1, 1]"
240,1.0,21,custom,3,3,0.8771467179694347,"[3, 3, 3]"
241,1.0,21,adaptive,3,3,0.9095808668891129,"[2, 3, 2, 1, 1]"
242,1.0,22,custom,3,3,1.0,"[3, 3, 3]"
243,1.0,22,adaptive,3,3,1.0,"[2, 1, 1, 2, 3]"
244,1.0,23,custom,3,3,0.858081410484463,"[3, 3, 3]"
245,1.0,23,adaptive,3,3,0.858081410484463,"[2, 3, 2, 2]"
246,1.0,24,custom,3,3,0.6835776277233983,"[3, 3, 3]"
247,1.0,24,adaptive,3,3,0.8657584834804084,"[1, 2, 1, 2, 2, 1]"
248,1.0,25,custom,3,3,0.9376044131441656,"[3, 3, 3]"
249,1.0,25,adaptive,3,3,0.857169876012013,"[1, 1, 2, 2, 2, 1]"
250,1.0,26,custom,3,3,0.7860143622535877,"[3, 3, 3]"
251,1.0,26,adaptive,3,3,1.0,"[1, 2, 1, 2, 1, 1, 1]"
252,1.0,27,custom,3,3,0.8792088724076154,"[3, 3, 3]"
253,1.0,27,adaptive,3,3,0.885837729823088,"[2, 1, 2, 2, 2]"
254,1.0,28,custom,3,3,0.9902316952785133,"[3, 3, 3]"
255,1.0,28,adaptive,3,3,0.9902316952785133,"[2, 2, 2, 1, 1, 1]"
256,1.0,29,custom,3,3,0.9530267608457932,"[3, 3, 3]"
257,1.0,29,adaptive,3,3,0.9530267608457932,"[2, 1, 2, 2, 1, 1]"
258,1.0,30,custom,3,3,1.0,"[3, 3, 3]"
259,1.0,30,adaptive,3,3,1.0,"[3, 2, 2, 1, 1]"
260,1.0,31,custom,3,3,0.8251080573545692,"[3, 3, 2, 1]"
261,1.0,31,adaptive,3,3,1.0,"[2, 2, 3, 1, 1]"
262,1.0,32,custom,3,3,0.6863377970886406,"[3, 3, 3]"
263,1.0,32,adaptive,3,3,0.7147199873571787,"[1, 1, 1, 1, 2, 2, 1]"
264,1.0,33,custom,3,3,0.9027544339117934,"[3, 3, 3]"
265,1.0,33,adaptive,3,3,0.9051094175896466,"[2, 1, 2, 1, 2, 1]"
266,1.0,34,custom,3,3,1.0,"[3, 3, 3]"
267,1.0,34,adaptive,3,3,1.0,"[2, 3, 2, 1, 1]"
268,1.0,35,custom,3,3,0.7764271325065342,"[3, 3, 3]"
269,1.0,35,adaptive,3,3,1.0,"[1, 2, 3, 2, 1]"
270,1.0,36,custom,3,3,0.8662327790516127,"[3, 3, 3]"
271,1.0,36,adaptive,3,3,0.8662327790516127,"[2, 1, 2, 1, 2, 1]"
272,1.0,37,custom,3,3,0.8654310290272752,"[3, 3, 3]"
273,1.0,37,adaptive,3,3,1.0,"[2, 1, 2, 3, 1]"
274,1.0,38,custom,3,3,0.8784987320928351,"[3, 3, 3]"
275,1.0,38,adaptive,3,3,1.0,"[2, 2, 1, 1, 2, 1]"
276,1.0,39,custom,3,3,0.7426858764431588,"[3, 3, 3]"
277,1.0,39,adaptive,3,3,0.6594419819162222,"[2, 2, 1, 3, 1]"
278,1.0,40,custom,3,3,0.6028882388254405,"[3, 3, 3]"
279,1.0,40,adaptive,3,3,1.0,"[2, 3, 2, 2]"
280,1.0,41,custom,3,3,0.8836031875422125,"[3, 2, 3, 1]"
281,1.0,41,adaptive,3,3,0.8243363630709036,"[1, 1, 1, 2, 2, 1, 1]"
282,1.0,42,custom,3,3,0.8078781035150157,"[3, 3, 3]"
283,1.0,42,adaptive,3,3,0.7885655544052277,"[3, 2, 2, 1, 1]"
284,1.0,43,custom,3,3,1.0,"[3, 3, 2, 1]"
285,1.0,43,adaptive,3,3,0.7678860211858654,"[2, 2, 1, 1, 1, 2]"
286,1.0,44,custom,3,3,0.9079350164593811,"[3, 3, 2, 1]"
287,1.0,44,adaptive,3,3,0.9544158114377614,"[2, 2, 2, 3]"
288,1.0,45,custom,3,3,0.8560920360274993,"[3, 3, 3]"
289,1.0,45,adaptive,3,3,0.6471591898510073,"[1, 2, 1, 2, 2, 1]"
290,1.0,46,custom,3,3,0.9656514836048673,"[3, 3, 3]"
291,1.0,46,adaptive,3,3,1.0,"[2, 3, 2, 1, 1]"
292,1.0,47,custom,3,3,0.7864698358758956,"[3, 3, 3]"
293,1.0,47,adaptive,3,3,1.0,"[1, 2, 1, 1, 2, 1, 1]"
294,1.0,48,custom,3,3,0.71813057203595,"[3, 3, 3]"
295,1.0,48,adaptive,3,3,0.9413548158249443,"[1, 1, 1, 1, 2, 2, 1]"
296,1.0,49,custom,3,3,0.6415667855176675,"[3, 3, 3]"
297,1.0,49,adaptive,3,3,0.8582632752243076,"[2, 2, 2, 2, 1]"
298,1.0,50,custom,3,3,0.8369729312361519,"[3, 3, 3]"
299,1.0,50,adaptive,3,3,0.8559986425461866,"[1, 3, 3, 1, 1]"
300,1.0,51,custom,3,3,1.0,"[2, 2, 3, 2]"
301,1.0,51,adaptive,3,3,1.0,"[1, 3, 1, 1, 1, 1, 1]"
302,1.0,52,custom,3,3,0.8919971874337105,"[3, 3, 2, 1]"
303,1.0,52,adaptive,3,3,0.8138434590251123,"[2, 1, 1, 2, 2, 1]"
304,1.0,53,custom,3,3,0.9042669927918761,"[3, 3, 2, 1]"
305,1.0,53,adaptive,3,3,0.6038298406459681,"[2, 2, 2, 2, 1]"
306,1.0,54,custom,3,3,1.0,"[3, 3, 3]"
307,1.0,54,adaptive,3,3,1.0,"[3, 2, 2, 1, 1]"
308,1.0,55,custom,3,3,0.9118217848092465,"[3, 3, 3]"
309,1.0,55,adaptive,3,3,0.9462285125584292,"[1, 2, 2, 2, 2]"
310,1.0,56,custom,3,3,0.88875899218824,"[3, 3, 3]"
311,1.0,56,adaptive,3,3,0.8622622833269133,"[1, 1, 2, 2, 2, 1]"
312,1.0,57,custom,3,3,1.0,"[3, 3, 3]"
313,1.0,57,adaptive,3,3,0.8057658114351194,"[2, 2, 2, 2, 1]"
314,1.0,58,custom,3,3,0.7750645978027947,"[3, 3, 3]"
315,1.0,58,adaptive,3,3,1.0,"[2, 1, 1, 2, 1, 1, 1]"
316,1.0,59,custom,3,3,0.8864964571200709,"[3, 3, 3]"
317,1.0,59,adaptive,3,3,1.0,"[2, 2, 2, 2, 1]"
318,1.0,60,custom,3,3,0.7172927349472884,"[3, 2, 3, 1]"
319,1.0,60,adaptive,3,3,1.0,"[2, 2, 2, 2, 1]"
320,1.0,61,custom,3,3,0.9314688902152126,"[3, 3, 3]"
321,1.0,61,adaptive,3,3,0.860496826916622,"[2, 3, 3, 1]"
322,1.0,62,custom,3,3,1.0,"[3, 3, 3]"
323,1.0,62,adaptive,3,3,0.9716328828523968,"[1, 2, 2, 2, 1, 1]"
324,1.0,63,custom,3,3,0.4945987104834629,"[3, 3, 3]"
325,1.0,63,adaptive,3,3,1.0,"[2, 1, 2, 1, 1, 1, 1]"
326,1.0,64,custom,3,3,0.8427050859872833,"[3, 3, 3]"
327,1.0,64,adaptive,3,3,1.0,"[2, 1, 2, 3, 1]"
328,1.0,65,custom,3,3,0.8644092372938669,"[3, 3, 3]"
329,1.0,65,adaptive,3,3,0.9800727004007886,"[2, 2, 1, 1, 2, 1]"
330,1.0,66,custom,3,3,0.9833444664959863,"[3, 3, 3]"
331,1.0,66,adaptive,3,3,0.9833444664959863,"[1, 2, 2, 2, 1, 1]"
332,1.0,67,custom,3,3,0.7343243581942659,"[3, 3, 3]"
333,1.0,67,adaptive,3,3,0.6636619965529683,"[2, 2, 2, 2, 1]"
334,1.0,68,custom,3,3,0.9534839112648248,"[3, 3, 3]"
335,1.0,68,adaptive,3,3,0.9341281300062081,"[2, 2, 1, 2, 1, 1]"
336,1.0,69,custom,3,3,0.9627985600583556,"[3, 3, 3]"
337,1.0,69,adaptive,3,3,1.0,"[1, 2, 2, 2, 1, 1]"
338,1.0,70,custom,3,3,0.7074071435327407,"[3, 3, 3]"
339,1.0,70,adaptive,3,3,1.0,"[2, 1, 1, 2, 2, 1]"
340,1.0,71,custom,3,3,1.0,"[3, 3, 3]"
341,1.0,71,adaptive,3,3,1.0,"[2, 2, 2, 2, 1]"
342,1.0,72,custom,3,3,1.0,"[3, 3, 3]"
343,1.0,72,adaptive,3,3,0.8522894031535453,"[2, 1, 2, 1, 3]"
344,1.0,73,custom,3,3,0.8392212160931063,"[3, 3, 3]"
345,1.0,73,adaptive,3,3,0.8502126837266082,"[1, 2, 1, 2, 2, 1]"
346,1.0,74,custom,3,3,1.0,"[3, 3, 3]"
347,1.0,74,adaptive,3,3,1.0,"[2, 2, 2, 2, 1]"
348,1.0,75,custom,3,3,0.8508651354068206,"[3, 3, 2, 1]"
349,1.0,75,adaptive,3,3,0.7407234282797465,"[2, 1, 2, 1, 2, 1]"
350,1.0,76,custom,3,3,0.8526895756806422,"[3, 2, 3, 1]"
351,1.0,76,adaptive,3,3,0.8526895756806422,"[2, 2, 2, 2, 1]"
352,1.0,77,custom,3,3,0.9150612170400083,"[3, 3, 3]"
353,1.0,77,adaptive,3,3,0.9010363170106984,"[2, 2, 2, 3]"
354,1.0,78,custom,3,3,0.9483341606805685,"[3, 3, 3]"
355,1.0,78,adaptive,3,3,1.0,"[2, 3, 1, 2, 1]"
356,1.0,79,custom,3,3,0.8943849621788019,"[3, 3, 3]"
357,1.0,79,adaptive,3,3,0.5927628386445454,"[2, 3, 1, 1, 1, 1]"
358,1.0,80,custom,3,3,0.8521017472065271,"[3, 3, 3]"
359,1.0,80,adaptive,3,3,0.8913388804235037,"[2, 2, 2, 2, 1]"
