,sigma,seed,rqaoa_type,n_steps,n_max,r,optimization_schedule
0,0.1,1,custom,3,3,1.0,"[3, 3, 3]"
1,0.1,1,adaptive,3,3,1.0,"[2, 2, 2, 2, 1]"
2,0.1,2,custom,3,3,1.0,"[3, 3, 3]"
3,0.1,2,adaptive,3,3,1.0,"[2, 2, 1, 1, 1, 1, 1]"
4,0.1,3,custom,3,3,0.8675074332338798,"[3, 3, 3]"
5,0.1,3,adaptive,3,3,1.0,"[1, 3, 2, 1, 1, 1]"
6,0.1,4,custom,3,3,0.8532573741500389,"[3, 3, 2, 1]"
7,0.1,4,adaptive,3,3,0.861762353161791,"[2, 3, 2, 1, 1]"
8,0.1,5,custom,3,3,1.0,"[3, 3, 3]"
9,0.1,5,adaptive,3,3,1.0,"[2, 1, 1, 1, 2, 2]"
10,0.1,6,custom,3,3,1.0,"[3, 3, 3]"
11,0.1,6,adaptive,3,3,1.0,"[2, 2, 2, 3]"
12,0.1,7,custom,3,3,1.0,"[3, 3, 3]"
13,0.1,7,adaptive,3,3,0.8593490810223763,"[1, 2, 1, 2, 2, 1]"
14,0.1,8,custom,3,3,1.0,"[3, 3, 3]"
15,0.1,8,adaptive,3,3,1.0,"[3, 1, 2, 2, 1]"
16,0.1,9,custom,3,3,1.0,"[3, 3, 3]"
17,0.1,9,adaptive,3,3,0.7176272857358287,"[2, 2, 1, 2, 1, 1]"
18,0.1,10,custom,3,3,1.0,"[3, 3, 3]"
19,0.1,10,adaptive,3,3,1.0,"[1, 1, 1, 2, 2, 1, 1]"
20,0.1,11,custom,3,3,1.0,"[3, 3, 3]"
21,0.1,11,adaptive,3,3,1.0,"[1, 3, 3, 1, 1]"
22,0.1,12,custom,3,3,1.0,"[3, 3, 3]"
23,0.1,12,adaptive,3,3,1.0,"[2, 1, 2, 1, 2, 1]"
24,0.1,13,custom,3,3,1.0,"[3, 2, 3, 1]"
25,0.1,13,adaptive,3,3,1.0,"[2, 2, 1, 1, 1, 2]"
26,0.1,14,custom,3,3,0.837499329927122,"[3, 3, 3]"
27,0.1,14,adaptive,3,3,1.0,"[2, 2, 3, 2]"
28,0.1,15,custom,3,3,1.0,"[3, 3, 2, 1]"
29,0.1,15,adaptive,3,3,1.0,"[2, 3, 2, 1, 1]"
30,0.1,16,custom,3,3,1.0,"[3, 3, 3]"
31,0.1,16,adaptive,3,3,1.0,"[1, 2, 3, 2, 1]"
32,0.1,17,custom,3,3,0.9917673652237232,"[3, 3, 2, 1]"
33,0.1,17,adaptive,3,3,0.9936531827413219,"[2, 1, 1, 1, 2, 1, 1]"
34,0.1,18,custom,3,3,0.9973836106074829,"[3, 3, 3]"
35,0.1,18,adaptive,3,3,1.0,"[1, 2, 2, 2, 2]"
36,0.1,19,custom,3,3,1.0,"[3, 3, 3]"
37,0.1,19,adaptive,3,3,1.0,"[3, 2, 2, 2]"
38,0.1,20,custom,3,3,0.7233896844391268,"[3, 3, 3]"
39,0.1,20,adaptive,3,3,0.8578670016387302,"[2, 1, 3, 1, 1, 1]"
40,0.1,21,custom,3,3,1.0,"[3, 3, 3]"
41,0.1,21,adaptive,3,3,0.4290976385443749,"[1, 1, 2, 1, 2, 2]"
42,0.1,22,custom,3,3,1.0,"[3, 2, 3, 1]"
43,0.1,22,adaptive,3,3,0.859069340840766,"[2, 2, 1, 2, 2]"
44,0.1,23,custom,3,3,1.0,"[3, 3, 3]"
45,0.1,23,adaptive,3,3,0.6691112416366294,"[1, 2, 2, 2, 2]"
46,0.1,24,custom,3,3,0.8602403394186158,"[3, 3, 3]"
47,0.1,24,adaptive,3,3,0.8580092400492495,"[2, 2, 2, 2, 1]"
48,0.1,25,custom,3,3,0.8646535481945093,"[3, 3, 3]"
49,0.1,25,adaptive,3,3,0.9947962198057769,"[2, 1, 1, 1, 2, 2]"
