,sigma,optimizer,seed,r
133,0.1,cobyla,29,1.0
134,0.1,nelder-mead,29,1.0
135,0.1,rmsprop,30,0.7040174110258435
136,0.1,newton-cg,30,0.7040174110258435
137,0.1,cobyla,30,1.0
138,0.1,nelder-mead,30,0.7040174110258435
139,0.1,rmsprop,31,0.8300448969779269
140,0.1,newton-cg,31,1.0
141,0.1,cobyla,31,0.8316637750577569
142,0.1,nelder-mead,31,0.8300448969779269
143,0.1,rmsprop,32,0.8553826298867488
144,0.1,newton-cg,32,1.0
145,0.1,cobyla,32,1.0
146,0.1,nelder-mead,32,0.8553826298867488
147,0.1,rmsprop,33,0.837290902743085
148,0.1,newton-cg,33,0.8398722124396489
149,0.1,cobyla,33,1.0
150,0.1,nelder-mead,33,0.837290902743085
151,0.1,rmsprop,34,0.8246239662043655
152,0.1,newton-cg,34,0.8246239662043655
153,0.1,cobyla,34,0.8346263724051916
154,0.1,nelder-mead,34,0.8246239662043655
155,0.1,rmsprop,35,0.4934632207664454
156,0.1,newton-cg,35,1.0
157,0.1,cobyla,35,1.0
158,0.1,nelder-mead,35,0.4934632207664454
159,0.1,rmsprop,36,0.8447944955947979
160,0.1,newton-cg,36,0.8363594359635851
161,0.1,cobyla,36,0.8439338812222202
162,0.1,nelder-mead,36,0.8447944955947979
163,0.1,rmsprop,37,0.9955979805533058
164,0.1,newton-cg,37,0.8406978083779081
165,0.1,cobyla,37,0.8406978083779081
166,0.1,nelder-mead,37,0.9955979805533058
167,0.1,rmsprop,38,0.41843013638881366
168,0.1,newton-cg,38,0.5717789350924354
169,0.1,cobyla,38,1.0
170,0.1,nelder-mead,38,0.41843013638881366
171,0.1,rmsprop,39,0.8513017404497136
172,0.1,newton-cg,39,0.7106009172135522
173,0.1,cobyla,39,0.4300589174581718
174,0.1,nelder-mead,39,0.8513017404497136
175,0.1,rmsprop,40,0.8516633145209148
176,0.1,newton-cg,40,0.9996696573810295
177,0.1,cobyla,40,1.0
178,0.1,nelder-mead,40,0.8516633145209148
179,0.1,rmsprop,41,0.427999014144857
180,0.1,newton-cg,41,0.8666025158776447
181,0.1,cobyla,41,0.7179157014691662
182,0.1,nelder-mead,41,0.427999014144857
183,0.1,rmsprop,42,0.8538937583841615
184,0.1,newton-cg,42,1.0
185,0.1,cobyla,42,1.0
186,0.1,nelder-mead,42,0.8538937583841615
187,0.1,rmsprop,43,0.7143722584692205
188,0.1,newton-cg,43,1.0
189,0.1,cobyla,43,1.0
190,0.1,nelder-mead,43,0.7143722584692205
191,0.1,rmsprop,44,1.0
192,0.1,newton-cg,44,1.0
193,0.1,cobyla,44,1.0
194,0.1,nelder-mead,44,1.0
195,0.1,rmsprop,45,0.7119319155231972
196,0.1,newton-cg,45,0.7119319155231972
197,0.1,cobyla,45,1.0
198,0.1,nelder-mead,45,0.7119319155231972
199,0.1,rmsprop,46,0.7107453981033331
200,0.1,newton-cg,46,0.570190891179953
201,0.1,cobyla,46,1.0
202,0.1,nelder-mead,46,0.570190891179953
203,0.1,rmsprop,47,0.8597175764102774
204,0.1,newton-cg,47,0.8597175764102774
205,0.1,cobyla,47,1.0
206,0.1,nelder-mead,47,0.8597175764102774
207,0.1,rmsprop,48,0.8557090662479703
208,0.1,newton-cg,48,0.573370986763756
209,0.1,cobyla,48,0.7093637398435011
210,0.1,nelder-mead,48,0.8557090662479703
211,0.1,rmsprop,49,0.7086140261581316
212,0.1,newton-cg,49,0.4268182604319495
213,0.1,cobyla,49,1.0
214,0.1,nelder-mead,49,0.7086140261581316
215,0.1,rmsprop,50,0.8647158693957638
216,0.1,newton-cg,50,1.0
217,0.1,cobyla,50,0.8698557770508398
218,0.1,nelder-mead,50,0.8647158693957638
219,0.1,rmsprop,51,0.28976857896678543
220,0.1,newton-cg,51,0.7256359452978889
221,0.1,cobyla,51,0.8663007959804542
222,0.1,nelder-mead,51,0.28976857896678543
223,0.1,rmsprop,52,0.8346296456511126
224,0.1,newton-cg,52,1.0
225,0.1,cobyla,52,1.0
226,0.1,nelder-mead,52,0.8359643893798631
227,0.1,rmsprop,53,1.0
228,0.1,newton-cg,53,0.995891639662027
229,0.1,cobyla,53,1.0
230,0.1,nelder-mead,53,1.0
231,0.1,rmsprop,54,0.4292164077145946
232,0.1,newton-cg,54,0.7100830256825966
233,0.1,cobyla,54,0.7193306242997274
234,0.1,nelder-mead,54,0.4292164077145946
235,0.1,rmsprop,55,1.0
236,0.1,newton-cg,55,1.0
237,0.1,cobyla,55,1.0
238,0.1,nelder-mead,55,1.0
239,0.1,rmsprop,56,0.8506918286843604
240,0.1,newton-cg,56,0.8506918286843604
241,0.1,cobyla,56,0.9977495544856154
242,0.1,nelder-mead,56,0.8506918286843604
243,0.1,rmsprop,57,0.4309920100179672
244,0.1,newton-cg,57,0.7145272368164008
245,0.1,cobyla,57,1.0
246,0.1,nelder-mead,57,0.4309920100179672
247,0.1,rmsprop,58,0.707076240377401
248,0.1,newton-cg,58,0.7106268240494631
249,0.1,cobyla,58,1.0
250,0.1,nelder-mead,58,0.707076240377401
251,0.1,rmsprop,59,0.8174980949610408
252,0.1,newton-cg,59,0.8259652002379473
253,0.1,cobyla,59,1.0
254,0.1,nelder-mead,59,0.8174980949610408
255,0.1,rmsprop,60,0.9953486470382772
256,0.1,newton-cg,60,1.0
257,0.1,cobyla,60,1.0
258,0.1,nelder-mead,60,0.9953486470382772
259,0.1,rmsprop,61,1.0
260,0.1,newton-cg,61,0.8440889781021209
261,0.1,cobyla,61,1.0
262,0.1,nelder-mead,61,1.0
263,0.1,rmsprop,62,1.0
264,0.1,newton-cg,62,1.0
265,0.1,cobyla,62,1.0
266,0.1,nelder-mead,62,0.988274056978396
267,0.1,rmsprop,63,0.9944487392856024
268,0.1,newton-cg,63,1.0
269,0.1,cobyla,63,1.0
270,0.1,nelder-mead,63,0.9944487392856024
271,0.1,rmsprop,64,0.8491314049923099
272,0.1,newton-cg,64,0.8558825084227356
273,0.1,cobyla,64,0.8673918213976501
274,0.1,nelder-mead,64,0.8491314049923099
275,0.1,rmsprop,65,0.5029257038435209
276,0.1,newton-cg,65,0.5029257038435209
277,0.1,cobyla,65,0.8395345621557572
278,0.1,nelder-mead,65,0.15446999480231804
279,0.1,rmsprop,66,0.8276555267834453
280,0.1,newton-cg,66,0.8276555267834453
281,0.1,cobyla,66,0.8318678759657648
282,0.1,nelder-mead,66,0.8276555267834453
283,0.1,rmsprop,67,0.8349909402657073
284,0.1,newton-cg,67,0.8431684294135882
285,0.1,cobyla,67,0.9982696772595184
286,0.1,nelder-mead,67,0.8349909402657073
287,0.1,rmsprop,68,1.0
288,0.1,newton-cg,68,0.6726996939556456
289,0.1,cobyla,68,0.8397886024283062
290,0.1,nelder-mead,68,1.0
291,0.1,rmsprop,69,0.7099369309710265
292,0.1,newton-cg,69,0.7099369309710265
293,0.1,cobyla,69,1.0
294,0.1,nelder-mead,69,0.7099369309710265
295,0.1,rmsprop,70,0.8460457170516129
296,0.1,newton-cg,70,0.70313799303102
297,0.1,cobyla,70,0.4350383025538528
298,0.1,nelder-mead,70,0.8460457170516129
299,0.1,rmsprop,71,0.49629983150954116
300,0.1,newton-cg,71,0.826520228950759
